,cluster,label,# communities,# onto,frames,synsets,framesynset triplets,adj/adv w/o frame,noun/verb w/o frame,communities,docs
10,10,Buildings,3,1,"frame:Buildings: 5
frame:Giving: 3
frame:Discussion: 2
frame:Coming_up_with: 2
frame:Commerce_pay: 1
frame:Building_subparts: 1
","wn30:synset-hotel-noun-1: 5
wn30:synset-donor-noun-1: 3
wn30:synset-plan-verb-3: 2
wn30:synset-conference-noun-1: 2
wn30:synset-in-adverb-1: 1
wn30:synset-situate-verb-1: 1
wn30:synset-by-adverb-1: 1
wn30:synset-fee-noun-1: 1
wn30:synset-pay-verb-1: 1
wn30:synset-room-noun-1: 1
","wn30:synset-hotel-noun-1 - frame:Buildings - frame:Entity: 5
wn30:synset-donor-noun-1 - frame:Giving - frame:Lose_possession_scenario: 3
wn30:synset-plan-verb-3 - frame:Coming_up_with: 2
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 2
wn30:synset-room-noun-1 - frame:Building_subparts: 1
wn30:synset-pay-verb-1 - frame:Commerce_pay - frame:Event: 1
","wn30:synset-by-adverb-1: 1
wn30:synset-in-adverb-1: 1
","wn30:synset-fee-noun-1: 1
wn30:synset-situate-verb-1: 1
","inferred_iasted58
inferred_iasted55
inferred_iasted56
","Conference hotel is situated in Hotel room presenter designed for
Hotel fee is paid by presenter
Conference hotel Hotel presenter is designed for"
11,11,Cause_to_continue - Activity_ongoing - Discussion,2,2,"frame:Cause_to_continue: 2
frame:Activity_ongoing: 2
frame:Discussion: 2
frame:Intentionally_act: 1
frame:Measure_duration: 1
frame:Commerce_pay: 1
frame:Timespan: 1
frame:Political_locales: 1
frame:Calendric_unit: 1
","wn30:synset-keep-verb-1: 2
wn30:synset-conference-noun-1: 2
wn30:synset-activity-noun-1: 1
wn30:synset-in-adverb-1: 1
wn30:synset-state-noun-1: 1
wn30:synset-day-noun-1: 1
wn30:synset-registration-noun-1: 1
wn30:synset-fee-noun-1: 1
wn30:synset-pay-verb-1: 1
","wn30:synset-keep-verb-1 - frame:Activity_ongoing - frame:Process_continue: 2
wn30:synset-keep-verb-1 - frame:Cause_to_continue - frame:Event: 2
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 2
wn30:synset-state-noun-1 - frame:Political_locales - frame:Locale: 1
wn30:synset-day-noun-1 - frame:Measure_duration - frame:Measures: 1
wn30:synset-day-noun-1 - frame:Calendric_unit - frame:Location_in_time: 1
wn30:synset-activity-noun-1 - frame:Intentionally_act - frame:Event: 1
wn30:synset-pay-verb-1 - frame:Commerce_pay - frame:Event: 1
wn30:synset-day-noun-1 - frame:Timespan: 1
","wn30:synset-in-adverb-1: 1
","wn30:synset-registration-noun-1: 1
wn30:synset-fee-noun-1: 1
","inferred_sigkdd7
inferred_iasted59
","ACM SIGKDD hold Conference
Conference days Registration fee activity state is paid for held in"
12,12,synset-review-verb-1,2,1,"frame:Statement: 2
frame:Text_creation: 2
frame:Submitting_documents: 1
","wn30:synset-review-verb-1: 4
wn30:synset-write-verb-1: 2
wn30:synset-reviewer-noun-1: 2
wn30:synset-submit-verb-1: 1
wn30:synset-external-adjective-1: 1
wn30:synset-secondary-adjective-1: 1
","wn30:synset-write-verb-1 - frame:Text_creation - frame:Event: 2
wn30:synset-write-verb-1 - frame:Statement: 2
wn30:synset-submit-verb-1 - frame:Submitting_documents - frame:Event: 1
","wn30:synset-external-adjective-1: 1
wn30:synset-secondary-adjective-1: 1
","wn30:synset-review-verb-1: 4
wn30:synset-reviewer-noun-1: 2
","inferred_PCS7
inferred_PCS10
","submit write review Review External Reviewer
write review Secondary Reviewer Review"
13,13,Law,2,2,"frame:Law: 2
frame:People: 1
frame:Information: 1
frame:Political_locales: 1
frame:Being_named: 1
frame:Roadways: 1
frame:Locale_by_use: 1
frame:Expected_location_of_person: 1
","wn30:synset-code-noun-1: 2
wn30:synset-postal-adjective-1: 2
wn30:synset-surname-noun-1: 1
wn30:synset-telephone-noun-1: 1
wn30:synset-facsimile-noun-2: 1
wn30:synset-person-noun-1: 1
wn30:synset-page-noun-1: 1
wn30:synset-contact-noun-1: 1
wn30:synset-street-noun-1: 1
wn30:synset-information-noun-1: 1
wn30:synset-home-noun-1: 1
wn30:synset-city-noun-1: 1
","wn30:synset-code-noun-1 - frame:Law - frame:Entity: 2
wn30:synset-city-noun-1 - frame:Political_locales - frame:Locale: 1
wn30:synset-person-noun-1 - frame:People - frame:Entity: 1
wn30:synset-city-noun-1 - frame:Locale_by_use - frame:Locale: 1
wn30:synset-information-noun-1 - frame:Information - frame:Entity: 1
wn30:synset-surname-noun-1 - frame:Being_named: 1
wn30:synset-home-noun-1 - frame:Expected_location_of_person - frame:Stateframe:Relation: 1
wn30:synset-street-noun-1 - frame:Roadways - frame:Locale: 1
","wn30:synset-postal-adjective-1: 2
","wn30:synset-facsimile-noun-2: 1
wn30:synset-telephone-noun-1: 1
wn30:synset-contact-noun-1: 1
wn30:synset-page-noun-1: 1
","inferred_confOf2
inferred_edas2
","has Postal Code Surname Home Page Fax Person
has City Street Postal Code Contact Information Phone"
14,14,Text,8,6,"frame:Text: 15
frame:Statement: 13
frame:Text_creation: 13
frame:Giving: 1
frame:Discussion: 1
frame:People: 1
frame:Appointing: 1
frame:Submitting_documents: 1
frame:Make_cognitive_connection: 1
frame:Type: 1
frame:Documents: 1
frame:Relating_concepts: 1
","wn30:synset-write-verb-1: 13
wn30:synset-by-adverb-1: 7
wn30:synset-writer-noun-1: 6
wn30:synset-paper-noun-1: 3
wn30:synset-update-verb-2: 2
wn30:synset-review-verb-1: 2
wn30:synset-article-noun-1: 2
wn30:synset-reviewer-noun-1: 2
wn30:synset-submit-verb-1: 1
wn30:synset-document-noun-1: 1
wn30:synset-conference-noun-1: 1
wn30:synset-person-noun-1: 1
wn30:synset-associate-verb-1: 1
wn30:synset-version-noun-2: 1
wn30:synset-contribution-noun-2: 1
wn30:synset-delegate-verb-2: 1
","wn30:synset-write-verb-1 - frame:Text_creation - frame:Event: 13
wn30:synset-write-verb-1 - frame:Statement: 13
wn30:synset-article-noun-1 - frame:Text - frame:Entity: 2
wn30:synset-submit-verb-1 - frame:Submitting_documents - frame:Event: 1
wn30:synset-version-noun-2 - frame:Type: 1
wn30:synset-contribution-noun-2 - frame:Giving - frame:Lose_possession_scenario: 1
wn30:synset-person-noun-1 - frame:People - frame:Entity: 1
wn30:synset-associate-verb-1 - frame:Relating_concepts - frame:Cognitive_connection: 1
wn30:synset-document-noun-1 - frame:Documents - frame:Entity: 1
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 1
wn30:synset-associate-verb-1 - frame:Make_cognitive_connection: 1
wn30:synset-delegate-verb-2 - frame:Appointing - frame:Event: 1
","wn30:synset-by-adverb-1: 7
","wn30:synset-writer-noun-1: 6
wn30:synset-paper-noun-1: 3
wn30:synset-update-verb-2: 2
wn30:synset-review-verb-1: 2
wn30:synset-reviewer-noun-1: 2
","inferred_OpenConf14
inferred_cmt-214
inferred_cmt-27
inferred_confOf9
inferred_edas20
inferred_crs_dr1
inferred_crs_dr6
inferred_ekaw16
","is written by Author writes Paper
Reviewer written By Review write
Paper write Author has submit
Author Contribution written By writes
is Written By Author Paper has Related
has author writes article written by assigns to conference
writes review has reviewer written by article
Document Person author Of has Updated Version updated written By"
15,15,synset-review-verb-1,6,1,"frame:Building: 7
frame:Intentionally_act: 6
frame:Causation: 6
frame:Intentionally_create: 5
frame:Coming_up_with: 5
frame:Cause_to_start: 5
frame:Creating: 5
frame:Objective_influence: 5
frame:Being_in_effect: 5
frame:Purpose: 3
frame:Emotion_directed: 3
frame:Project: 3
frame:Means: 3
frame:Organization: 3
frame:Text: 2
frame:Buildings: 2
frame:Sending: 1
frame:Motion: 1
frame:Scrutiny: 1
frame:Subordinates_and_superiors: 1
frame:Membership: 1
frame:Travel: 1
frame:Inspecting: 1
","wn30:synset-review-verb-1: 8
wn30:synset-activity-noun-1: 5
wn30:synset-consequence-noun-1: 5
wn30:synset-in-adverb-1: 5
wn30:synset-make-verb-3: 5
wn30:synset-committee-noun-1: 3
wn30:synset-grade-noun-2: 3
wn30:synset-by-adverb-1: 3
wn30:synset-procedure-noun-1: 3
wn30:synset-plan-noun-1: 3
wn30:synset-form-noun-1: 3
wn30:synset-concerned-adjective-1: 3
wn30:synset-human-adjective-1: 2
wn30:synset-lower-verb-1: 2
wn30:synset-writer-noun-1: 2
wn30:synset-chair-noun-1: 2
wn30:synset-paper-noun-1: 2
wn30:synset-article-noun-1: 2
wn30:synset-structure-noun-1: 2
wn30:synset-check-verb-1: 1
wn30:synset-member-noun-1: 1
wn30:synset-upper-adjectivesatellite-2: 1
wn30:synset-summary-noun-1: 1
wn30:synset-perform-verb-1: 1
wn30:synset-travel-verb-1: 1
wn30:synset-senior-adjective-1: 1
wn30:synset-send-verb-1: 1
wn30:synset-through-adverb-1: 1
wn30:synset-presentment-noun-1: 1
","wn30:synset-consequence-noun-1 - frame:Objective_influence - frame:Event: 5
wn30:synset-make-verb-3 - frame:Cause_to_start - frame:Event: 5
wn30:synset-make-verb-3 - frame:Intentionally_create - frame:Event: 5
wn30:synset-consequence-noun-1 - frame:Being_in_effect: 5
wn30:synset-consequence-noun-1 - frame:Causation - frame:Event: 5
wn30:synset-activity-noun-1 - frame:Intentionally_act - frame:Event: 5
wn30:synset-make-verb-3 - frame:Creating - frame:Event: 5
wn30:synset-make-verb-3 - frame:Coming_up_with: 5
wn30:synset-make-verb-3 - frame:Building - frame:Event: 5
wn30:synset-concerned-adjective-1 - frame:Emotion_directed: 3
wn30:synset-plan-noun-1 - frame:Purpose: 3
wn30:synset-procedure-noun-1 - frame:Means: 3
wn30:synset-committee-noun-1 - frame:Organization - frame:Aggregate: 3
wn30:synset-plan-noun-1 - frame:Project: 3
wn30:synset-structure-noun-1 - frame:Buildings - frame:Entity: 2
wn30:synset-article-noun-1 - frame:Text - frame:Entity: 2
wn30:synset-member-noun-1 - frame:Membership - frame:Being_included: 1
wn30:synset-senior-adjective-1 - frame:Subordinates_and_superiors: 1
wn30:synset-travel-verb-1 - frame:Motion - frame:Event: 1
wn30:synset-check-verb-1 - frame:Scrutiny: 1
wn30:synset-check-verb-1 - frame:Inspecting - frame:Scrutiny: 1
wn30:synset-travel-verb-1 - frame:Travel - frame:Event: 1
wn30:synset-send-verb-1 - frame:Sending: 1
wn30:synset-perform-verb-1 - frame:Intentionally_act - frame:Event: 1
wn30:synset-send-verb-1 - frame:Causation - frame:Event: 1
","wn30:synset-in-adverb-1: 5
wn30:synset-by-adverb-1: 3
wn30:synset-human-adjective-1: 2
wn30:synset-through-adverb-1: 1
wn30:synset-upper-adjectivesatellite-2: 1
","wn30:synset-review-verb-1: 8
wn30:synset-grade-noun-2: 3
wn30:synset-form-noun-1: 3
wn30:synset-chair-noun-1: 2
wn30:synset-paper-noun-1: 2
wn30:synset-lower-verb-1: 2
wn30:synset-writer-noun-1: 2
wn30:synset-summary-noun-1: 1
wn30:synset-presentment-noun-1: 1
","inferred_confious-249
inferred_confious-230
inferred_confious-215
inferred_confious-214
inferred_confious-213
inferred_confious-241
","paper Program Committee Chair human is performed by concerned article notification has result
has author structure created by is of goes through human activity article in result sent to
review form paper is concerned activity created in
review form structure created by Program Committee Chair activity is in has result lower tier reviewing process
review form activity is checked in created has result lower tier reviewing process
has author Senior Program Committee member summary of reviews review upper tier reviewing process activity is created in result concerned"
16,16,Getting,4,2,"frame:Getting: 4
frame:People: 3
frame:Submitting_documents: 2
frame:Documents: 2
frame:Gizmo: 1
frame:Information: 1
frame:Membership: 1
frame:System: 1
frame:Discussion: 1
","wn30:synset-get-verb-1: 4
wn30:synset-person-noun-1: 3
wn30:synset-submit-verb-1: 2
wn30:synset-document-noun-1: 2
wn30:synset-electronic_mail-noun-1: 2
wn30:synset-in-adverb-1: 1
wn30:synset-receiver-noun-1: 1
wn30:synset-member-noun-1: 1
wn30:synset-by-adverb-1: 1
wn30:synset-conference-noun-1: 1
wn30:synset-message-noun-1: 1
wn30:synset-system-noun-1: 1
wn30:synset-invitation-noun-1: 1
wn30:synset-information-noun-1: 1
wn30:synset-Idaho-noun-1: 1
","wn30:synset-get-verb-1 - frame:Getting - frame:Event: 4
wn30:synset-person-noun-1 - frame:People - frame:Entity: 3
wn30:synset-submit-verb-1 - frame:Submitting_documents - frame:Event: 2
wn30:synset-document-noun-1 - frame:Documents - frame:Entity: 2
wn30:synset-member-noun-1 - frame:Membership - frame:Being_included: 1
wn30:synset-system-noun-1 - frame:Gizmo: 1
wn30:synset-information-noun-1 - frame:Information - frame:Entity: 1
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 1
wn30:synset-system-noun-1 - frame:System - frame:Set_of_interrelated_entities: 1
","wn30:synset-by-adverb-1: 1
wn30:synset-in-adverb-1: 1
","wn30:synset-electronic_mail-noun-1: 2
wn30:synset-receiver-noun-1: 1
wn30:synset-message-noun-1: 1
wn30:synset-invitation-noun-1: 1
wn30:synset-Idaho-noun-1: 1
","inferred_Cocus-27
inferred_PCS17
inferred_PCS12
inferred_PCS5
","get Person Inforamtion
submit PERSON DOCUMENT submited by get Information loggin in Document ID System
Conference Member Invitation get
PERSON Email get Message of email Receiver"
17,17,Building_subparts,3,2,"frame:Building_subparts: 3
frame:Statement: 1
frame:Guest_and_host: 1
frame:Text_creation: 1
frame:Communication_manner: 1
","wn30:synset-session-noun-1: 3
wn30:synset-room-noun-1: 3
wn30:synset-in-adverb-1: 2
wn30:synset-lector-noun-2: 2
wn30:synset-hold-verb-3: 2
wn30:synset-talk-verb-2: 1
wn30:synset-chair-noun-1: 1
wn30:synset-slot-noun-1: 1
wn30:synset-host-noun-1: 1
","wn30:synset-room-noun-1 - frame:Building_subparts: 3
wn30:synset-talk-verb-2 - frame:Text_creation - frame:Event: 1
wn30:synset-host-noun-1 - frame:Guest_and_host - frame:Relation: 1
wn30:synset-talk-verb-2 - frame:Communication_manner - frame:Event: 1
wn30:synset-talk-verb-2 - frame:Statement: 1
","wn30:synset-in-adverb-1: 2
","wn30:synset-session-noun-1: 3
wn30:synset-lector-noun-2: 2
wn30:synset-hold-verb-3: 2
wn30:synset-chair-noun-1: 1
wn30:synset-slot-noun-1: 1
","inferred_MyReview-214
inferred_iasted36
inferred_iasted35
","hosts Slot has Chair is Associated To room Session
speak in Lecturer Session room
Session Lecturer give room is held in"
18,18,Travel,7,2,"frame:Travel: 9
frame:Measure_duration: 6
frame:Abounding_with: 6
frame:Fullness: 6
frame:Timespan: 6
frame:Calendric_unit: 6
frame:Touring: 5
frame:Discussion: 4
frame:Coming_up_with: 3
frame:Cause_to_continue: 2
frame:Activity_ongoing: 2
frame:Locale_by_use: 1
frame:Motion: 1
frame:Being_necessary: 1
frame:Commerce_pay: 1
frame:Arriving: 1
frame:Political_locales: 1
","wn30:synset-full-adjective-1: 6
wn30:synset-day-noun-1: 6
wn30:synset-tour-noun-1: 5
wn30:synset-conference-noun-1: 4
wn30:synset-delegate-verb-1: 3
wn30:synset-hiker-noun-1: 3
wn30:synset-plan-verb-3: 3
wn30:synset-trip-noun-1: 3
wn30:synset-by-adverb-1: 2
wn30:synset-keep-verb-1: 2
wn30:synset-in-adverb-1: 2
wn30:synset-pay-verb-1: 1
wn30:synset-excess-adjectivesatellite-1: 1
wn30:synset-fee-noun-1: 1
wn30:synset-travel-verb-1: 1
wn30:synset-visit-verb-1: 1
wn30:synset-city-noun-1: 1
wn30:synset-through-adverb-1: 1
wn30:synset-paper-noun-1: 1
wn30:synset-size-noun-1: 1
","wn30:synset-full-adjective-1 - frame:Fullness - frame:Attributes: 6
wn30:synset-full-adjective-1 - frame:Abounding_with - frame:Stateframe:Relation: 6
wn30:synset-day-noun-1 - frame:Calendric_unit - frame:Location_in_time: 6
wn30:synset-day-noun-1 - frame:Measure_duration - frame:Measures: 6
wn30:synset-day-noun-1 - frame:Timespan: 6
wn30:synset-tour-noun-1 - frame:Touring - frame:Perceptionframe:Event: 5
wn30:synset-tour-noun-1 - frame:Travel - frame:Event: 5
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 4
wn30:synset-trip-noun-1 - frame:Travel - frame:Event: 3
wn30:synset-plan-verb-3 - frame:Coming_up_with: 3
wn30:synset-keep-verb-1 - frame:Activity_ongoing - frame:Process_continue: 2
wn30:synset-keep-verb-1 - frame:Cause_to_continue - frame:Event: 2
wn30:synset-city-noun-1 - frame:Locale_by_use - frame:Locale: 1
wn30:synset-travel-verb-1 - frame:Motion - frame:Event: 1
wn30:synset-pay-verb-1 - frame:Commerce_pay - frame:Event: 1
wn30:synset-excess-adjectivesatellite-1 - frame:Being_necessary: 1
wn30:synset-city-noun-1 - frame:Political_locales - frame:Locale: 1
wn30:synset-visit-verb-1 - frame:Arriving - frame:Event: 1
wn30:synset-travel-verb-1 - frame:Travel - frame:Event: 1
","wn30:synset-by-adverb-1: 2
wn30:synset-in-adverb-1: 2
wn30:synset-through-adverb-1: 1
","wn30:synset-delegate-verb-1: 3
wn30:synset-hiker-noun-1: 3
wn30:synset-paper-noun-1: 1
wn30:synset-size-noun-1: 1
wn30:synset-fee-noun-1: 1
","inferred_confious-244
inferred_iasted43
inferred_iasted42
inferred_iasted44
inferred_iasted41
inferred_iasted45
inferred_iasted61
","full paper size
Trip day Delegate is designed for held in Full tour
is visited by Conference Hiker Trip city held in Full day tour
go through Full day tour Conference Hiker
Conference Hiker Fee for extra trip is paid by Full day tour
is designed for Delegate Full day tour
Conference days is designed for Delegate"
19,19,Causation,6,2,"frame:Causation: 7
frame:Purpose: 6
frame:Discussion: 6
frame:Project: 6
frame:Gizmo: 5
frame:Membership: 5
frame:Placing: 4
frame:Emotion_directed: 3
frame:Organization: 3
frame:Cause_change: 3
frame:People: 1
frame:Documents: 1
","wn30:synset-conference-noun-1: 6
wn30:synset-plan-noun-1: 6
wn30:synset-member-noun-1: 5
wn30:synset-apparatus-noun-1: 5
wn30:synset-put-verb-1: 4
wn30:synset-committee-noun-1: 3
wn30:synset-by-adverb-1: 3
wn30:synset-make-verb-2: 3
wn30:synset-concerned-adjective-1: 3
wn30:synset-chair-noun-1: 3
wn30:synset-writer-noun-1: 2
wn30:synset-paper-noun-1: 2
wn30:synset-human-adjective-1: 1
wn30:synset-document-noun-1: 1
wn30:synset-person-noun-1: 1
wn30:synset-in-adverb-1: 1
wn30:synset-review-verb-1: 1
wn30:synset-contact-noun-1: 1
wn30:synset-form-noun-1: 1
","wn30:synset-plan-noun-1 - frame:Purpose: 6
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 6
wn30:synset-plan-noun-1 - frame:Project: 6
wn30:synset-member-noun-1 - frame:Membership - frame:Being_included: 5
wn30:synset-apparatus-noun-1 - frame:Gizmo: 5
wn30:synset-put-verb-1 - frame:Causation - frame:Event: 4
wn30:synset-put-verb-1 - frame:Placing - frame:Event: 4
wn30:synset-concerned-adjective-1 - frame:Emotion_directed: 3
wn30:synset-committee-noun-1 - frame:Organization - frame:Aggregate: 3
wn30:synset-make-verb-2 - frame:Cause_change - frame:Event: 3
wn30:synset-make-verb-2 - frame:Causation - frame:Event: 3
wn30:synset-document-noun-1 - frame:Documents - frame:Entity: 1
wn30:synset-person-noun-1 - frame:People - frame:Entity: 1
","wn30:synset-by-adverb-1: 3
wn30:synset-in-adverb-1: 1
wn30:synset-human-adjective-1: 1
","wn30:synset-chair-noun-1: 3
wn30:synset-paper-noun-1: 2
wn30:synset-writer-noun-1: 2
wn30:synset-review-verb-1: 1
wn30:synset-contact-noun-1: 1
wn30:synset-form-noun-1: 1
","inferred_OpenConf17
inferred_confious-233
inferred_confious-217
inferred_confious-223
inferred_confious-245
inferred_confious-226
","Program chair Conference made by planned papers Planed Paper is in program
is made by conference setup sets member human
conference setup has author review form is concerned confernce Program Committee member
Program Committee Chair conference setup sets member PCC
conference setup has author paper is concerned confernce Contact Person sets member CP
is made by conference setup concerned confernce Program Committee Chair sets member PCC"
20,20,Ordinal_numbers,7,6,"frame:Ordinal_numbers: 10
frame:People: 8
frame:Referring_by_name: 7
frame:Being_named: 7
frame:Relative_time: 4
frame:People_by_vocation: 2
frame:Discussion: 2
frame:Certainty: 1
frame:Membership: 1
frame:Locale: 1
frame:Event: 1
frame:Appointing: 1
frame:Likelihood: 1
frame:Text: 1
frame:Roadways: 1
","wn30:synset-name-noun-1: 7
wn30:synset-person-noun-1: 6
wn30:synset-first-adjective-1: 6
wn30:synset-last-adjectivesatellite-1: 4
wn30:synset-electronic_mail-noun-1: 3
wn30:synset-angstrom-noun-1: 2
wn30:synset-attendant-noun-2: 2
wn30:synset-conference-noun-1: 2
wn30:synset-human-adjective-1: 1
wn30:synset-telephone-noun-1: 1
wn30:synset-member-noun-1: 1
wn30:synset-event-noun-1: 1
wn30:synset-street-noun-1: 1
wn30:synset-at-noun-2: 1
wn30:synset-address-noun-1: 1
wn30:synset-biography-noun-1: 1
wn30:synset-certain-adjective-2: 1
wn30:synset-delegate-verb-2: 1
wn30:synset-affiliation-noun-1: 1
wn30:synset-location-noun-1: 1
wn30:synset-volume-noun-1: 1
","wn30:synset-name-noun-1 - frame:Referring_by_name: 7
wn30:synset-name-noun-1 - frame:Being_named: 7
wn30:synset-person-noun-1 - frame:People - frame:Entity: 6
wn30:synset-first-adjective-1 - frame:Ordinal_numbers: 6
wn30:synset-last-adjectivesatellite-1 - frame:Ordinal_numbers: 4
wn30:synset-last-adjectivesatellite-1 - frame:Relative_time - frame:Relation: 4
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 2
wn30:synset-attendant-noun-2 - frame:People_by_vocation - frame:Entity: 2
wn30:synset-certain-adjective-2 - frame:Certainty - frame:Attributes: 1
wn30:synset-location-noun-1 - frame:Locale - frame:Locale: 1
wn30:synset-member-noun-1 - frame:Membership - frame:Being_included: 1
wn30:synset-biography-noun-1 - frame:Text - frame:Entity: 1
wn30:synset-certain-adjective-2 - frame:Likelihood - frame:Attributes: 1
wn30:synset-event-noun-1 - frame:Event - frame:State: 1
wn30:synset-delegate-verb-2 - frame:Appointing - frame:Event: 1
wn30:synset-street-noun-1 - frame:Roadways - frame:Locale: 1
","wn30:synset-human-adjective-1: 1
","wn30:synset-electronic_mail-noun-1: 3
wn30:synset-angstrom-noun-1: 2
wn30:synset-telephone-noun-1: 1
wn30:synset-address-noun-1: 1
wn30:synset-affiliation-noun-1: 1
wn30:synset-at-noun-2: 1
wn30:synset-volume-noun-1: 1
","inferred_linklings6
inferred_conference-219
inferred_conference-218
inferred_confious-232
inferred_confOf1
inferred_edas1
inferred_MyReview-29
","has Address Person Assigned Sure Name First
Conference volume has a location Person the last name
has the first name Person an email
first name human e-mail last
has Street Phone First Name Email Person
has Member is Of attendee At Conference First Name Last Attendee Biography Person Event
has Last Name First Person Affiliation"
21,21,synset-reviewer-noun-1,4,1,"frame:Possibility: 4
frame:Appointing: 1
","wn30:synset-reviewer-noun-1: 5
wn30:synset-possible-adjective-1: 4
wn30:synset-paper-noun-1: 4
wn30:synset-review-verb-1: 2
wn30:synset-written-adjective-1: 1
wn30:synset-by-adverb-1: 1
wn30:synset-delegate-verb-2: 1
","wn30:synset-possible-adjective-1 - frame:Possibility: 4
wn30:synset-delegate-verb-2 - frame:Appointing - frame:Event: 1
","wn30:synset-written-adjective-1: 1
wn30:synset-by-adverb-1: 1
","wn30:synset-reviewer-noun-1: 5
wn30:synset-paper-noun-1: 4
wn30:synset-review-verb-1: 2
","inferred_ekaw6
inferred_ekaw7
inferred_ekaw5
inferred_ekaw8
","reviewer Of Paper Possible Reviewer
has Review Possible Reviewer review Written By Of Paper
Possible Reviewer has Paper
Possible Reviewer Assigned Paper has"
22,22,synset-by-adverb-1 - synset-reviewer-noun-1 - synset-yield-verb-1,6,4,"frame:Reading: 1
frame:Participation: 1
frame:Individual_history: 1
frame:Out_of_existence: 1
frame:Fields: 1
frame:Discussion: 1
","wn30:synset-by-adverb-1: 4
wn30:synset-reviewer-noun-1: 4
wn30:synset-yield-verb-1: 4
wn30:synset-review-verb-1: 2
wn30:synset-invite-verb-1: 2
wn30:synset-presentation-noun-1: 2
wn30:synset-delegate-verb-1: 1
wn30:synset-participant-noun-1: 1
wn30:synset-active_agent-noun-1: 1
wn30:synset-personal-adjective-1: 1
wn30:synset-paper-noun-1: 1
wn30:synset-history-noun-1: 1
wn30:synset-read-verb-1: 1
wn30:synset-conference-noun-1: 1
wn30:synset-form-noun-1: 1
","wn30:synset-read-verb-1 - frame:Reading - frame:Scrutinyframe:Reading_activity: 1
wn30:synset-history-noun-1 - frame:Individual_history: 1
wn30:synset-history-noun-1 - frame:Fields: 1
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 1
wn30:synset-history-noun-1 - frame:Out_of_existence: 1
wn30:synset-participant-noun-1 - frame:Participation: 1
","wn30:synset-by-adverb-1: 4
wn30:synset-personal-adjective-1: 1
","wn30:synset-reviewer-noun-1: 4
wn30:synset-yield-verb-1: 4
wn30:synset-review-verb-1: 2
wn30:synset-invite-verb-1: 2
wn30:synset-presentation-noun-1: 2
wn30:synset-delegate-verb-1: 1
wn30:synset-active_agent-noun-1: 1
wn30:synset-paper-noun-1: 1
wn30:synset-form-noun-1: 1
","inferred_conference-231
inferred_conference-213
inferred_cmt-210
inferred_edas19
inferred_iasted13
inferred_iasted75
","Presentation is given by Active conference participant gives presentations
invites co-reviewers Reviewer invited by
Paper Meta- Reviewer read By
Reviewer is Review History Of has Personal
is given to Form Delegate
Review Reviewer is writen by give"
23,23,Building_subparts - Roadways - Path_traveled,4,1,"frame:Building_subparts: 6
frame:Roadways: 6
frame:Path_traveled: 6
frame:Discussion: 5
frame:Membership: 3
frame:Topic: 2
","wn30:synset-workshop-noun-1: 6
wn30:synset-path-noun-4: 6
wn30:synset-conference-noun-1: 5
wn30:synset-part-noun-1: 3
wn30:synset-subject-noun-1: 2
wn30:synset-angstrom-noun-1: 2
wn30:synset-tutorial-noun-1: 2
wn30:synset-volume-noun-1: 2
wn30:synset-chair-noun-1: 1
","wn30:synset-workshop-noun-1 - frame:Building_subparts: 6
wn30:synset-path-noun-4 - frame:Path_traveled: 6
wn30:synset-path-noun-4 - frame:Roadways - frame:Locale: 6
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 5
wn30:synset-part-noun-1 - frame:Membership - frame:Being_included: 3
wn30:synset-subject-noun-1 - frame:Topic: 2
","
","wn30:synset-volume-noun-1: 2
wn30:synset-angstrom-noun-1: 2
wn30:synset-tutorial-noun-1: 2
wn30:synset-chair-noun-1: 1
","inferred_conference-28
inferred_conference-229
inferred_conference-230
inferred_conference-26
","Workshop has workshops Conference volume
was a track-workshop chair of has track-workshop-tutorial Track-workshop Conference part
has a track-workshop-tutorial topic is topis of conference parts Topic Conference part
has tracks Track Conference volume"
