,cluster,label,docs,# communities,# onto,frequent frames,frequent synsets,frequent framesynset triplets,frequent adj/adv w/o frame,frequent noun/verb w/o frame,communities,docss
10,10,Execution,"execute Event Approval Email Administrator has result
execute Event Creation has result Author
User has result Registration
Reviewer Double Blind Review executes is Executed By
Criterion has Weight",5,3,"frame:Execution: 4
frame:Being_in_effect: 3
frame:Causation: 3
frame:Objective_influence: 3
","wn30:synset-execute-verb-1: 4
wn30:synset-consequence-noun-1: 3
wn30:synset-event-noun-1: 2
","wn30:synset-execute-verb-1 - frame:Execution - frame:Event: 4
wn30:synset-consequence-noun-1 - frame:Objective_influence - frame:Event: 3
wn30:synset-consequence-noun-1 - frame:Causation - frame:Event: 3
wn30:synset-consequence-noun-1 - frame:Being_in_effect: 3
","wn30:synset-blind-adjective-1: 1
wn30:synset-by-adverb-1: 1
","wn30:synset-writer-noun-1: 1
wn30:synset-registration-noun-1: 1
wn30:synset-reviewer-noun-1: 1
wn30:synset-administrator-noun-1: 1
wn30:synset-review-verb-1: 1
wn30:synset-double-noun-1: 1
wn30:synset-standard-noun-1: 1
wn30:synset-user-noun-1: 1
wn30:synset-blessing-noun-1: 1
wn30:synset-electronic_mail-noun-1: 1
","inferred_Cocus-218
inferred_Cocus-221
inferred_Cocus-216
inferred_MICRO9
inferred_MyReview-230
","execute Event Approval Email Administrator has result
execute Event Creation has result Author
User has result Registration
Reviewer Double Blind Review executes is Executed By
Criterion has Weight"
11,11,Event,"Event Tracks conists of
Event define defined by Setup
concerned Event URL
approved by Administrator approve Event
has Place Event
Administrative event has Event parallel with Working follows
has Programme belongs To Event Conference
Meal Menu Event has is Of
for Event has Call Academic
Paper Presentation Accepted related To Event
has enddate event startdate
has Event Individual Presentation Session
inverse of part Of 7 Event has",13,6,"frame:Event: 14
frame:Permitting: 2
frame:Grant_permission: 2
","wn30:synset-event-noun-1: 14
wn30:synset-by-adverb-1: 2
wn30:synset-presentation-noun-1: 2
wn30:synset-approve-verb-1: 2
wn30:synset-specify-verb-3: 2
","wn30:synset-event-noun-1 - frame:Event - frame:State: 14
wn30:synset-approve-verb-1 - frame:Permitting: 2
wn30:synset-approve-verb-1 - frame:Grant_permission: 2
","wn30:synset-by-adverb-1: 2
","wn30:synset-specify-verb-3: 2
wn30:synset-presentation-noun-1: 2
","inferred_Cocus-211
inferred_Cocus-210
inferred_Cocus-212
inferred_Cocus-217
inferred_linklings19
inferred_confOf5
inferred_edas9
inferred_edas17
inferred_edas13
inferred_edas18
inferred_crs_dr8
inferred_ekaw18
inferred_ekaw14
","Event Tracks conists of
Event define defined by Setup
concerned Event URL
approved by Administrator approve Event
has Place Event
Administrative event has Event parallel with Working follows
has Programme belongs To Event Conference
Meal Menu Event has is Of
for Event has Call Academic
Paper Presentation Accepted related To Event
has enddate event startdate
has Event Individual Presentation Session
inverse of part Of 7 Event has"
12,12,Documents,"User recieved by submited submit Document
Conference document has authors a date of issue contributes Person
Document Person has Conflict Of Interest
Speaker Deadline presentationed by Document submit until presentation
submit PERSON DOCUMENT submited by get Information loggin in Document ID System",5,5,"frame:Documents: 6
frame:Submitting_documents: 4
frame:People: 3
","wn30:synset-document-noun-1: 6
wn30:synset-submit-verb-1: 4
wn30:synset-by-adverb-1: 3
wn30:synset-person-noun-1: 3
wn30:synset-presentation-noun-1: 2
","wn30:synset-document-noun-1 - frame:Documents - frame:Entity: 6
wn30:synset-submit-verb-1 - frame:Submitting_documents - frame:Event: 4
wn30:synset-person-noun-1 - frame:People - frame:Entity: 3
","wn30:synset-by-adverb-1: 3
","wn30:synset-presentation-noun-1: 2
","inferred_Cocus-214
inferred_conference-220
inferred_cmt-219
inferred_sigkdd15
inferred_PCS17
","User recieved by submited submit Document
Conference document has authors a date of issue contributes Person
Document Person has Conflict Of Interest
Speaker Deadline presentationed by Document submit until presentation
submit PERSON DOCUMENT submited by get Information loggin in Document ID System"
13,13,Text,"is written by Author writes Paper
Reviewer written By Review write
Paper write Author has submit
submit write review Review External Reviewer
write review Secondary Reviewer Review
Author Contribution written By writes
is Written By Author Paper has Related
has author writes article written by assigns to conference
writes review has reviewer written by article
Speaker write Final manuscript",10,7,"frame:Text: 17
frame:Text_creation: 15
frame:Statement: 15
","wn30:synset-write-verb-1: 15
wn30:synset-review-verb-1: 6
wn30:synset-by-adverb-1: 6
wn30:synset-writer-noun-1: 5
wn30:synset-reviewer-noun-1: 4
","wn30:synset-write-verb-1 - frame:Text_creation - frame:Event: 15
wn30:synset-write-verb-1 - frame:Statement: 15
","wn30:synset-by-adverb-1: 6
","wn30:synset-review-verb-1: 6
wn30:synset-writer-noun-1: 5
wn30:synset-reviewer-noun-1: 4
","inferred_OpenConf14
inferred_cmt-214
inferred_cmt-27
inferred_PCS7
inferred_PCS10
inferred_confOf9
inferred_edas20
inferred_crs_dr1
inferred_crs_dr6
inferred_iasted65
","is written by Author writes Paper
Reviewer written By Review write
Paper write Author has submit
submit write review Review External Reviewer
write review Secondary Reviewer Review
Author Contribution written By writes
is Written By Author Paper has Related
has author writes article written by assigns to conference
writes review has reviewer written by article
Speaker write Final manuscript"
14,14,Respond_to_proposal,"Program Comitee Chair accepts assigned Paper By accepted Reviewer rejected assigns To Review
Program Comitee Chair rejects Paper reviews Reviewer bids For is In Conflict With
Conference accepts Hardcopy Submissions
Paper Administrator accepted By Bid accept rejected reject has
Primary Reviewer Paper assigned review by Review accept
written paper by submit reject accepted rejected write Author Paper accept Committee Member
is Chair Of accepts rejects Rejected By Paper Session Accepted",7,4,"frame:Respond_to_proposal: 17
frame:Receiving: 9
frame:Agree_or_refuse_to_act: 8
","wn30:synset-accept-verb-2: 9
wn30:synset-refuse-verb-2: 8
wn30:synset-paper-noun-1: 7
wn30:synset-by-adverb-1: 5
wn30:synset-review-verb-1: 4
wn30:synset-chair-noun-1: 3
wn30:synset-delegate-verb-2: 3
wn30:synset-reviewer-noun-1: 3
","wn30:synset-accept-verb-2 - frame:Receiving - frame:Event: 9
wn30:synset-accept-verb-2 - frame:Respond_to_proposal: 9
wn30:synset-refuse-verb-2 - frame:Agree_or_refuse_to_act - frame:Respond_to_proposal: 8
wn30:synset-refuse-verb-2 - frame:Respond_to_proposal: 8
","wn30:synset-by-adverb-1: 5
","wn30:synset-paper-noun-1: 7
wn30:synset-review-verb-1: 4
wn30:synset-chair-noun-1: 3
wn30:synset-reviewer-noun-1: 3
","inferred_paperdyne9
inferred_paperdyne2
inferred_cmt-222
inferred_cmt-26
inferred_PCS8
inferred_PCS16
inferred_MyReview-223
","Program Comitee Chair accepts assigned Paper By accepted Reviewer rejected assigns To Review
Program Comitee Chair rejects Paper reviews Reviewer bids For is In Conflict With
Conference accepts Hardcopy Submissions
Paper Administrator accepted By Bid accept rejected reject has
Primary Reviewer Paper assigned review by Review accept
written paper by submit reject accepted rejected write Author Paper accept Committee Member
is Chair Of accepts rejects Rejected By Paper Session Accepted"
15,15,Commerce_pay,"payed by Registration fee Currency Person pay
Sponzor fee pay
Tip Conference restaurant is paid in
Sponsor is paid by give Sponzorship
Money pay Person has amount of Building is paid with in Item by
Conference hotel is situated in Hotel room presenter designed for
Hotel fee is paid by presenter
is paid by Delegate pay Registration fee
Conference hotel Hotel presenter is designed for",9,2,"frame:Commerce_pay: 11
frame:Buildings: 6
","wn30:synset-pay-verb-1: 10
wn30:synset-by-adverb-1: 5
wn30:synset-hotel-noun-1: 5
wn30:synset-fee-noun-1: 4
wn30:synset-conference-noun-1: 3
wn30:synset-in-adverb-1: 3
wn30:synset-donor-noun-1: 3
","wn30:synset-pay-verb-1 - frame:Commerce_pay - frame:Event: 10
wn30:synset-hotel-noun-1 - frame:Buildings - frame:Entity: 5
wn30:synset-donor-noun-1 - frame:Giving - frame:Lose_possession_scenario: 3
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 3
","wn30:synset-by-adverb-1: 5
","wn30:synset-fee-noun-1: 4
wn30:synset-registration-noun-1: 2
","inferred_sigkdd1
inferred_sigkdd9
inferred_iasted24
inferred_iasted38
inferred_iasted22
inferred_iasted58
inferred_iasted55
inferred_iasted2
inferred_iasted56
","payed by Registration fee Currency Person pay
Sponzor fee pay
Tip Conference restaurant is paid in
Sponsor is paid by give Sponzorship
Money pay Person has amount of Building is paid with in Item by
Conference hotel is situated in Hotel room presenter designed for
Hotel fee is paid by presenter
is paid by Delegate pay Registration fee
Conference hotel Hotel presenter is designed for"
16,16,Membership,"Web address Member
Committee was a member of has members
Conference Member member Of has
Conference Member has conference member of
is Member Of has Members Conference Committee Organizing Organized By",5,5,"frame:Membership: 9
","wn30:synset-member-noun-1: 9
wn30:synset-conference-noun-1: 4
","wn30:synset-member-noun-1 - frame:Membership - frame:Being_included: 9
","wn30:synset-organized-adjective-1: 1
wn30:synset-by-adverb-1: 1
","wn30:synset-angstrom-noun-1: 1
wn30:synset-address-noun-1: 1
wn30:synset-web-noun-1: 1
","inferred_OpenConf13
inferred_conference-215
inferred_cmt-22
inferred_PCS11
inferred_MICRO3
","Web address Member
Committee was a member of has members
Conference Member member Of has
Conference Member has conference member of
is Member Of has Members Conference Committee Organizing Organized By"
17,17,Submitting_documents,"Contribution File Author submits Main submitted By
is stored in Paper File Submitted
Paper submited by Corresponding Author
Submitted contribution has a submitted Review expertise
Conference contribution is submitted at volume
Paper Abstract Contact Author has submits Email abstract Is Submitted By is Of
Author paper Is Submitted By submits Paper write",7,5,"frame:Submitting_documents: 13
frame:Giving: 3
","wn30:synset-submit-verb-1: 11
wn30:synset-paper-noun-1: 5
wn30:synset-by-adverb-1: 4
wn30:synset-writer-noun-1: 4
wn30:synset-contribution-noun-2: 3
","wn30:synset-submit-verb-1 - frame:Submitting_documents - frame:Event: 11
wn30:synset-contribution-noun-2 - frame:Giving - frame:Lose_possession_scenario: 3
wn30:synset-file-verb-1 - frame:Submitting_documents - frame:Event: 2
wn30:synset-file-verb-1 - frame:Placing - frame:Event: 2
","wn30:synset-by-adverb-1: 4
","wn30:synset-paper-noun-1: 5
wn30:synset-writer-noun-1: 4
","inferred_paperdyne17
inferred_OpenConf9
inferred_Cocus-222
inferred_conference-212
inferred_conference-22
inferred_MyReview-229
inferred_MyReview-23
","Contribution File Author submits Main submitted By
is stored in Paper File Submitted
Paper submited by Corresponding Author
Submitted contribution has a submitted Review expertise
Conference contribution is submitted at volume
Paper Abstract Contact Author has submits Email abstract Is Submitted By is Of
Author paper Is Submitted By submits Paper write"
18,18,Using,"Person used by Template
User recieve use used by created Document Person
human is employed in institute
Organization Person employed By
Tutorial Proposal applies To
Worksop Proposal applies To Work Shop
Chair produces Output Document is Produced By
is used by Transport vehicle Delegate",8,6,"frame:Using: 8
frame:People: 3
frame:Creating: 3
frame:Statement: 2
frame:Documents: 2
","wn30:synset-use-verb-1: 8
wn30:synset-by-adverb-1: 5
wn30:synset-person-noun-1: 3
wn30:synset-produce-verb-1: 2
wn30:synset-proposal-noun-1: 2
wn30:synset-document-noun-1: 2
","wn30:synset-use-verb-1 - frame:Using - frame:Event: 8
wn30:synset-person-noun-1 - frame:People - frame:Entity: 3
wn30:synset-document-noun-1 - frame:Documents - frame:Entity: 2
wn30:synset-proposal-noun-1 - frame:Statement: 2
wn30:synset-produce-verb-1 - frame:Creating - frame:Event: 2
","wn30:synset-by-adverb-1: 5
","wn30:synset-chair-noun-1: 1
wn30:synset-end_product-noun-1: 1
wn30:synset-tutorial-noun-1: 1
wn30:synset-user-noun-1: 1
wn30:synset-delegate-verb-1: 1
wn30:synset-transport-verb-1: 1
wn30:synset-template-noun-1: 1
","inferred_Cocus-26
inferred_Cocus-213
inferred_confious-234
inferred_confOf15
inferred_MICRO14
inferred_MICRO15
inferred_MyReview-224
inferred_iasted10
","Person used by Template
User recieve use used by created Document Person
human is employed in institute
Organization Person employed By
Tutorial Proposal applies To
Worksop Proposal applies To Work Shop
Chair produces Output Document is Produced By
is used by Transport vehicle Delegate"
19,19,Type,"is Type Format Paper File
has Title is Type Of Submission includes Status
has Content Type
is Setting For Submission Feature Settings has Type",4,2,"frame:Type: 4
frame:Submitting_documents: 3
frame:Placing: 2
","wn30:synset-type-noun-1: 4
wn30:synset-submission-noun-1: 2
","wn30:synset-type-noun-1 - frame:Type: 4
wn30:synset-submission-noun-1 - frame:Submitting_documents - frame:Event: 2
","
","wn30:synset-feature-noun-1: 1
wn30:synset-paper-noun-1: 1
wn30:synset-setting-noun-1: 1
wn30:synset-content-noun-1: 1
wn30:synset-title-noun-1: 1
","inferred_OpenConf10
inferred_linklings12
inferred_linklings13
inferred_linklings15
","is Type Format Paper File
has Title is Type Of Submission includes Status
has Content Type
is Setting For Submission Feature Settings has Type"
20,20,Coming_up_with,"ACM SIGKDD designed by Deadline design
Delegate is designed for Mailing list
is designed for Delegate Coctail reception
Registration is designed for Delegate
Delegate Deadline is designed for done till
Social program is designed for Delegate
is designed for Delegate Coffee break
Departure is designed for tax
Invitation letter obtain Delegate is designed for
give Listener Speaker is designed for Lecture",10,2,"frame:Coming_up_with: 11
frame:Text: 2
","wn30:synset-plan-verb-3: 11
wn30:synset-delegate-verb-1: 7
wn30:synset-deadline-noun-1: 2
","wn30:synset-plan-verb-3 - frame:Coming_up_with: 11
","wn30:synset-by-adverb-1: 1
","wn30:synset-delegate-verb-1: 7
wn30:synset-deadline-noun-1: 2
","inferred_sigkdd6
inferred_iasted14
inferred_iasted11
inferred_iasted15
inferred_iasted73
inferred_iasted16
inferred_iasted12
inferred_iasted80
inferred_iasted1
inferred_iasted30
","ACM SIGKDD designed by Deadline design
Delegate is designed for Mailing list
is designed for Delegate Coctail reception
Registration is designed for Delegate
Delegate Deadline is designed for done till
Social program is designed for Delegate
is designed for Delegate Coffee break
Departure is designed for tax
Invitation letter obtain Delegate is designed for
give Listener Speaker is designed for Lecture"
21,21,Topic,"has Role Involved Panel is In Moderator Panelist
has Role Involved is In reviews
Applicant Application is Role Involved In has
Paper Author is Role Involved In has",4,1,"frame:Topic: 4
","wn30:synset-involve-verb-1: 4
wn30:synset-function-noun-3: 4
wn30:synset-in-adverb-1: 4
","wn30:synset-involve-verb-1 - frame:Topic: 4
","wn30:synset-in-adverb-1: 4
","wn30:synset-function-noun-3: 4
","inferred_linklings18
inferred_linklings9
inferred_linklings23
inferred_linklings24
","has Role Involved Panel is In Moderator Panelist
has Role Involved is In reviews
Applicant Application is Role Involved In has
Paper Author is Role Involved In has"
22,22,Discussion,"Conference has Name Theme
has Subject Area Paper
Conference date
Topic of conference Conference
Date Conference
has Topic Conference",6,4,"frame:Discussion: 6
frame:Topic: 4
","wn30:synset-conference-noun-1: 6
wn30:synset-subject-noun-1: 4
","wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 6
wn30:synset-subject-noun-1 - frame:Topic: 4
","
","wn30:synset-date-noun-1: 2
","inferred_linklings7
inferred_cmt-211
inferred_cmt-223
inferred_PCS13
inferred_PCS14
inferred_edas6
","Conference has Name Theme
has Subject Area Paper
Conference date
Topic of conference Conference
Date Conference
has Topic Conference"
